date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:47	17444/17444	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202016%2010:42:34%20GMT	http://crgems.club/	C:/My%20Web%20Sites/1/crgems.club/index.html	(from )
17:31:47	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:55:07%20GMT	http://crgems.club/robots.txt		(from )
17:31:48	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sun,%2027%20Nov%202016%2005:28:04%20GMT	http://crgems.club/favicon.ico	C:/My%20Web%20Sites/1/crgems.club/favicon.ico	(from http://crgems.club/)
17:31:48	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/1/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://crgems.club/)
17:31:48	113498/113498	---M-Z	200	added ('OK')	text/css	etag:%223ab3438f85ad9f9e27e1af1facf0a9c4%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/1/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from http://crgems.club/)
17:31:49	1379/1379	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202016%2016:32:00%20GMT	http://crgems.club/css/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/1/crgems.club/css/jquery.mCustomScrollbar.css	(from http://crgems.club/)
17:31:49	3059/3059	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Nov%202016%2022:01:06%20GMT	http://crgems.club/css/theme.css	C:/My%20Web%20Sites/1/crgems.club/css/theme.css	(from http://crgems.club/)
17:31:49	1312/1312	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202016%2016:32:00%20GMT	http://crgems.club/css/sticky.css	C:/My%20Web%20Sites/1/crgems.club/css/sticky.css	(from http://crgems.club/)
17:31:51	4392/4392	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Nov%202016%2005:38:40%20GMT	http://crgems.club/images/gems.png	C:/My%20Web%20Sites/1/crgems.club/images/gems.png	(from http://crgems.club/)
17:31:51	10652/10652	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Nov%202016%2005:38:38%20GMT	http://crgems.club/images/gold.png	C:/My%20Web%20Sites/1/crgems.club/images/gold.png	(from http://crgems.club/)
17:31:51	1636/1636	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202016%2016:32:00%20GMT	http://crgems.club/fb.css	C:/My%20Web%20Sites/1/crgems.club/fb.css	(from http://crgems.club/)
17:31:53	53662/53662	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Nov%202016%2005:22:28%20GMT	http://crgems.club/images/icon.png	C:/My%20Web%20Sites/1/crgems.club/images/icon.png	(from http://crgems.club/)
